address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"781 Embarcadero del Norte Unit 2124, Goleta, CA 93117, United States",1,1,2795,0.41
"Daytona Dr, Goleta, CA 93117, United States",2,4,4800,2.43
"6223 Cumberland Dr, Goleta, CA 93117, United States",1,1,1200,2.64
"6542 Covington Way Goleta, CA 93117",1,1,2250,2.18
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",5.5,5,1635,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",5.5,5,1670,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",5.5,5,1660,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",5.5,5,1725,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",5.5,5,1445,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",6.5,6,1660,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",6.5,6,1635,1.43
"568 Ocean Meadows Ln  Unit 101, Goleta, CA 93117, United States",6.5,6,1725,1.43
"5218 Rhoads Ave, Santa Barbara, CA 93111, United States",1,1,1200,2.64
"San Ricardo Dr, Santa Barbara, CA 93111, United States",1,1,1500,2.72
"6478 Caroldale Ln, Goleta, CA 93117, United States",1,1,1200,2.35
"796 Embarcadero del Norte Goleta, CA 93117",1,2,3400,0.36
"6815 Trigo Rd Goleta, CA 93117",1,1,3100,1.04
"6580 Pardall Rd Isla Vista, CA 93117",1.5,2,4200,0.5
"6581 Trigo Rd, Isla Vista, CA 93117, United States",1,1,2500,0.57
"6598 Madrid Rd Unit AB, Goleta, CA 93117, United States",1,1,2700,0.56
"6598 Madrid Rd Unit C , Goleta, CA 93117, United States",1,1,2700,0.56
"6594 Madrid Rd Unit ABC , Goleta, CA 93117, United States",1,1,2700,0.55
"6594 Segovia Rd, Isla Vista, CA 93117, United States",1,1,2550,0.55
"6619 Del Playa Dr, Isla Vista, CA 93117, United States",2,3,7900,0.68
"6517 El Greco Rd Unit 8, Goleta, CA 93117, United States",1,1,3500,0.35
"6517 El Greco Rd Unit 4, Goleta, CA 93117, United States",1,2,3500,0.35
"6656 Picasso Rd, Goleta Unit 457, CA 93117, United States",1,1,3300,0.69
"6656 Picasso Rd, Goleta Unit 23910, CA 93117, United States",2,2,5500,0.69
"6565 Segovia Rd, Goleta, CA 93117, United States",1,1,3000,0.48
"6571 Sabado Tarde Rd Unit 6, Goleta, CA 93117, United States",1,1,1750,0.56
